순위,키워드,카테고리,검색수요(추정),경쟁(추정),제작난이도,수익모델,가성비점수
352,요일 계산기,날짜/시간,중간,보통,쉬움,광고,11
353,근무일수 계산기,날짜/시간,높음,높음,쉬움,광고,11
354,백일 계산기,날짜/시간,높음,높음,쉬움,광고,11
355,주수 계산기,날짜/시간,높음,높음,쉬움,광고,11
356,기념일 계산기,날짜/시간,높음,높음,쉬움,광고,11
357,디데이 위젯,날짜/시간,높음,높음,쉬움,광고,11
358,공휴일 계산기,날짜/시간,높음,높음,쉬움,광고,11
359,월급날 계산기,날짜/시간,높음,높음,쉬움,광고,11
360,근속일수 계산기,날짜/시간,높음,높음,쉬움,광고,11
361,전역일 계산기,날짜/시간,높음,높음,쉬움,광고,11
362,띠 계산기,날짜/시간,중간,보통,쉬움,광고,11
363,별자리 계산기,날짜/시간,높음,높음,쉬움,광고,11
364,음력 양력 변환기,날짜/시간,높음,높음,쉬움,광고,11
365,시차 계산기,날짜/시간,높음,높음,쉬움,광고,11
366,세계 시간 변환기,날짜/시간,높음,높음,쉬움,광고,11
367,타임존 계산기,날짜/시간,높음,높음,쉬움,광고,11
368,초읽기 타이머,날짜/시간,높음,높음,쉬움,광고,11
369,수능 디데이,날짜/시간,높음,높음,쉬움,광고,11
370,평수 계산기,단위/변환,높음,높음,쉬움,광고,11
371,제곱미터 평 변환,단위/변환,높음,높음,쉬움,광고,11
372,인치 cm 변환,단위/변환,높음,높음,쉬움,광고,11
373,피트 미터 변환,단위/변환,높음,높음,쉬움,광고,11
374,kg 파운드 변환,단위/변환,높음,높음,쉬움,광고,11
375,화씨 섭씨 변환,단위/변환,높음,높음,쉬움,광고,11
376,마일 km 변환,단위/변환,높음,높음,쉬움,광고,11
377,리터 갤런 변환,단위/변환,높음,높음,쉬움,광고,11
378,ml 컵 변환,단위/변환,높음,높음,쉬움,광고,11
379,온스 그램 변환,단위/변환,높음,높음,쉬움,광고,11
380,야드 미터 변환,단위/변환,높음,높음,쉬움,광고,11
381,데시벨 변환,단위/변환,높음,높음,쉬움,광고,11
382,바이트 단위 변환,단위/변환,높음,높음,쉬움,광고,11
383,진법 변환기(2진10진16진),단위/변환,높음,높음,쉬움,광고,11
384,각도 라디안 변환,단위/변환,높음,높음,쉬움,광고,11
385,압력 단위 변환,단위/변환,높음,높음,쉬움,광고,11
386,속도 단위 변환,단위/변환,높음,높음,쉬움,광고,11
387,넓이 단위 변환,단위/변환,높음,높음,쉬움,광고,11
388,부피 단위 변환,단위/변환,높음,높음,쉬움,광고,11
389,환율 단위 변환,단위/변환,높음,높음,쉬움,광고,11
390,한자 숫자 변환,단위/변환,높음,높음,쉬움,광고,11
391,로마 숫자 변환,단위/변환,높음,높음,쉬움,광고,11
392,부동산 취득세 계산기,부동산/세금,높음,높음,어려움,부동산제휴,11
393,양도소득세 계산기,부동산/세금,높음,높음,어려움,부동산제휴,11
394,종합부동산세 계산기,부동산/세금,중간,보통,어려움,부동산제휴,11
395,재산세 계산기,부동산/세금,중간,보통,어려움,부동산제휴,11
396,증여세 계산기,부동산/세금,중간,보통,어려움,부동산제휴,11
397,상속세 계산기,부동산/세금,중간,보통,어려움,부동산제휴,11
398,임대수익률 계산기,부동산/세금,중간,보통,어려움,부동산제휴,11
399,전월세 전환율 계산기,부동산/세금,높음,높음,어려움,부동산제휴,11
400,복비(중개수수료) 계산기,부동산/세금,높음,높음,어려움,부동산제휴,11
401,법무사 비용 계산기,부동산/세금,높음,높음,어려움,부동산제휴,11
402,취득세 감면 계산기,부동산/세금,높음,높음,어려움,부동산제휴,11
403,1세대 1주택 양도세 계산기,부동산/세금,높음,높음,어려움,부동산제휴,11
404,다주택자 양도세 계산기,부동산/세금,높음,높음,어려움,부동산제휴,11
405,분양권 양도세 계산기,부동산/세금,높음,높음,어려움,부동산제휴,11
406,오피스텔 취득세 계산기,부동산/세금,높음,높음,어려움,부동산제휴,11
407,상가 부가세 계산기,부동산/세금,높음,높음,어려움,부동산제휴,11
408,토지 보상금 계산기,부동산/세금,높음,높음,어려움,부동산제휴,11
409,전세 대출 한도 계산기,부동산/세금,높음,높음,어려움,부동산제휴,11
410,월세 보증금 환산 계산기,부동산/세금,높음,높음,어려움,부동산제휴,11
411,관리비 계산기,부동산/세금,높음,높음,어려움,부동산제휴,11
412,평당 분양가 계산기,부동산/세금,높음,높음,어려움,부동산제휴,11
413,비율 계산기,수학/공학,중간,보통,쉬움,광고,11
414,분수 계산기,수학/공학,중간,보통,쉬움,광고,11
415,평균 계산기,수학/공학,중간,보통,쉬움,광고,11
416,표준편차 계산기,수학/공학,중간,보통,쉬움,광고,11
417,확률 계산기,수학/공학,중간,보통,쉬움,광고,11
418,경우의 수 계산기,수학/공학,중간,보통,쉬움,광고,11
419,삼각함수 계산기,수학/공학,중간,보통,쉬움,광고,11
420,로그 계산기,수학/공학,중간,보통,쉬움,광고,11
421,지수 계산기,수학/공학,중간,보통,쉬움,광고,11
422,최대공약수 최소공배수 계산기,수학/공학,중간,보통,쉬움,광고,11
423,소수 판별기,수학/공학,중간,보통,쉬움,광고,11
424,방정식 계산기,수학/공학,중간,보통,쉬움,광고,11
425,행렬 계산기,수학/공학,중간,보통,쉬움,광고,11
426,통계 계산기,수학/공학,중간,보통,쉬움,광고,11
427,반올림 계산기,수학/공학,중간,보통,쉬움,광고,11
428,유효숫자 계산기,수학/공학,중간,보통,쉬움,광고,11
429,병원비 본인부담금 계산기,의료/병원,중간,보통,보통,건강제휴,11
430,산정특례 본인부담 계산기,의료/병원,중간,보통,보통,건강제휴,11
431,실손보험 청구액 계산기(의료),의료/병원,중간,보통,보통,건강제휴,11
432,비급여 진료비 계산기,의료/병원,중간,보통,보통,건강제휴,11
433,임플란트 비용 계산기,의료/병원,중간,보통,보통,건강제휴,11
434,라식 라섹 비용 계산기,의료/병원,중간,보통,보통,건강제휴,11
435,건강검진 주기 계산기,의료/병원,중간,보통,보통,건강제휴,11
436,약값 본인부담 계산기,의료/병원,중간,보통,보통,건강제휴,11
437,MRI CT 비용 계산기,의료/병원,중간,보통,보통,건강제휴,11
438,출산 비용 계산기,의료/병원,중간,보통,보통,건강제휴,11
439,치과 스케일링 보험 적용 계산기,의료/병원,중간,보통,보통,건강제휴,11
440,도수치료 비용 계산기,의료/병원,중간,보통,보통,건강제휴,11
441,자동차 취등록세 계산기,자동차,중간,보통,보통,자동차제휴,11
442,유류비 계산기,자동차,중간,보통,보통,자동차제휴,11
443,연비 계산기,자동차,중간,보통,보통,자동차제휴,11
444,전기차 충전요금 계산기,자동차,중간,보통,보통,자동차제휴,11
445,자동차 할부 이자 계산기,자동차,중간,보통,보통,자동차제휴,11
446,중고차 시세 계산기,자동차,중간,보통,보통,자동차제휴,11
447,리스 vs 할부 비교 계산기,자동차,중간,보통,보통,자동차제휴,11
448,주행거리 비용 계산기,자동차,중간,보통,보통,자동차제휴,11
449,하이패스 통행료 계산기,자동차,중간,보통,보통,자동차제휴,11
450,자동차 감가상각 계산기,자동차,중간,보통,보통,자동차제휴,11
451,개별소비세 계산기,자동차,중간,보통,보통,자동차제휴,11
452,수입차 관세 계산기,자동차,중간,보통,보통,자동차제휴,11
453,전기차 보조금 계산기,자동차,중간,보통,보통,자동차제휴,11
454,주유 할인 계산기,자동차,중간,보통,보통,자동차제휴,11
455,JSON 포맷터,IT/개발,중간,보통,보통,광고,10
456,Base64 인코더,IT/개발,중간,보통,보통,광고,10
457,URL 인코더,IT/개발,중간,보통,보통,광고,10
458,QR코드 생성기,IT/개발,중간,보통,보통,광고,10
459,비밀번호 생성기,IT/개발,중간,보통,보통,광고,10
460,UUID 생성기,IT/개발,중간,보통,보통,광고,10
461,타임스탬프 변환기,IT/개발,중간,보통,보통,광고,10
462,정규식 테스터,IT/개발,중간,보통,보통,광고,10
463,색상 코드 변환기(HEX RGB),IT/개발,중간,보통,보통,광고,10
464,이미지 용량 줄이기,IT/개발,중간,보통,보통,광고,10
465,글자수 세기,IT/개발,중간,보통,보통,광고,10
466,맞춤법 검사기,IT/개발,중간,보통,보통,광고,10
467,워드 카운터,IT/개발,중간,보통,보통,광고,10
468,마크다운 미리보기,IT/개발,중간,보통,보통,광고,10
469,해시 생성기(MD5/SHA),IT/개발,중간,보통,보통,광고,10
470,픽셀 to rem 변환,IT/개발,중간,보통,보통,광고,10
471,크론 표현식 생성기,IT/개발,중간,보통,보통,광고,10
472,위도경도 변환기,IT/개발,중간,보통,보통,광고,10
473,태양광 발전량 계산기,에너지/환경,낮음,낮음,보통,광고,10
474,전기차 충전 비용 계산기(에너지),에너지/환경,낮음,낮음,보통,광고,10
475,탄소 배출량 계산기,에너지/환경,낮음,낮음,보통,광고,10
476,냉난방비 계산기,에너지/환경,낮음,낮음,보통,광고,10
477,보일러 가스비 계산기,에너지/환경,낮음,낮음,보통,광고,10
478,단열 효율 계산기,에너지/환경,낮음,낮음,보통,광고,10
479,전기 사용량 예측 계산기,에너지/환경,낮음,낮음,보통,광고,10
480,누진세 구간 계산기,에너지/환경,낮음,낮음,보통,광고,10
481,절전 절약액 계산기,에너지/환경,낮음,낮음,보통,광고,10
482,히터 전기요금 계산기,에너지/환경,낮음,낮음,보통,광고,10
483,인덕션 전기요금 계산기,에너지/환경,낮음,낮음,보통,광고,10
484,정수기 렌탈 비용 계산기,에너지/환경,낮음,낮음,보통,광고,10
485,이름 궁합 계산기,재미/관계,중간,높음,쉬움,광고,9
486,연애 궁합 계산기,재미/관계,중간,높음,쉬움,광고,9
487,사주 궁합 계산기,재미/관계,중간,높음,쉬움,광고,9
488,MBTI 궁합 테스트,재미/관계,중간,높음,쉬움,광고,9
489,결혼 적령기 계산기,재미/관계,중간,높음,쉬움,광고,9
490,용돈 계산기,재미/관계,중간,높음,쉬움,광고,9
491,키 차이 계산기,재미/관계,중간,높음,쉬움,광고,9
492,닮은꼴 테스트,재미/관계,중간,높음,쉬움,광고,9
493,당신의 가치 계산기,재미/관계,중간,높음,쉬움,광고,9
494,연봉 상위 몇% 계산기,재미/관계,중간,높음,쉬움,광고,9
495,자산 상위 계산기,재미/관계,중간,높음,쉬움,광고,9
496,술 게임 랜덤,재미/관계,중간,높음,쉬움,광고,9
497,내 별명 생성기,재미/관계,중간,높음,쉬움,광고,9
498,랜덤 닉네임 생성기,재미/관계,중간,높음,쉬움,광고,9
499,로또 번호 생성기,재미/관계,중간,높음,쉬움,광고,9
500,사다리 타기,재미/관계,중간,높음,쉬움,광고,9
501,랜덤 뽑기,재미/관계,중간,높음,쉬움,광고,9
502,이상형 월드컵 생성기,재미/관계,중간,높음,쉬움,광고,9
